lang,vocabSize,rep,error,wordsPlaced,elapsedMs,boardRows,boardCols,boardCells,filledCells,letterCount,reviewWordPlaced
fa,10000,98,,12,176.741,7,8,56,29,8,true
fa,10000,99,,9,177.283,6,7,42,23,8,true
fa,10000,100,,10,182.748,7,7,49,25,8,true
fa,10000,101,,9,181.228,8,5,40,20,8,false
fa,10000,102,,6,187.798,5,6,30,18,8,true
fa,10000,103,,6,196.623,4,7,28,16,5,true
fa,10000,104,,12,167.528,8,8,64,33,8,true
fa,10000,105,,10,183.851,8,7,56,25,8,true
fa,10000,106,,9,173.544,6,7,42,22,8,true
fa,10000,107,,10,182.63,8,7,56,25,8,false
fa,10000,108,,12,200.849,8,8,64,32,8,false
fa,10000,109,,10,185.857,8,6,48,24,8,false
fa,10000,110,,11,194.967,7,8,56,26,8,true
fa,10000,111,,9,185.305,7,5,35,20,8,false
fa,10000,112,,6,193.225,6,6,36,17,5,false
fa,10000,113,,12,194.546,8,8,64,29,8,false
fa,10000,114,,10,195.483,8,8,64,30,7,true
fa,10000,115,,12,170.511,8,7,56,26,8,true
fa,10000,116,,10,179.509,7,7,49,25,8,true
fa,10000,117,,6,192.004,5,7,35,15,8,false
fa,10000,118,,9,181.136,7,7,49,25,8,true
fa,10000,119,,12,193.328,8,7,56,34,8,false
fa,10000,120,,12,171.047,8,7,56,28,8,true
fa,10000,121,,10,170.602,7,8,56,22,8,true
fa,10000,122,,4,179.442,4,6,24,13,5,false
fa,10000,123,,9,172.33,7,8,56,21,8,true
fa,10000,124,,10,207.878,8,8,64,30,8,true
fa,10000,125,,10,186.036,7,8,56,23,8,false
fa,10000,126,,11,198.381,8,8,64,30,8,false
fa,10000,127,,12,179.818,6,8,48,24,8,false
fa,10000,128,,11,196.674,8,8,64,26,8,true
fa,10000,129,,10,218.712,8,7,56,29,8,true
fa,10000,130,,11,211.531,8,7,56,27,8,false
fa,10000,131,,8,206.296,6,7,42,18,8,true
fa,10000,132,,8,203.299,7,6,42,20,5,true
fa,10000,133,,8,182.28,6,8,48,20,8,false
fa,10000,134,,10,184.406,7,8,56,24,8,true
fa,10000,135,,9,198.857,8,8,64,26,8,true
fa,10000,136,,10,231.521,7,8,56,31,8,true
fa,10000,137,,12,200.534,8,8,64,33,8,true
fa,10000,138,,9,186.705,8,6,48,23,8,true
fa,10000,139,,8,216.274,6,7,42,24,7,true
fa,10000,140,,7,199.837,6,6,36,18,8,true
fa,10000,141,,4,195.484,3,6,18,12,6,true
fa,10000,142,,9,184.818,8,5,40,21,8,true
fa,10000,143,,8,220.228,6,8,48,23,8,false
fa,10000,144,,10,186.862,8,7,56,22,8,true
fa,10000,145,,12,192.875,8,8,64,34,8,true
fa,10000,146,,9,186.782,6,8,48,24,8,false
fa,10000,147,,12,186.974,8,8,64,29,8,true
fa,10000,148,,5,202.751,3,7,21,15,7,true
fa,10000,149,,9,185.193,8,8,64,21,8,true
fa,10000,150,,9,178.897,7,8,56,24,8,false
fa,10000,151,,8,173.398,7,7,49,22,8,true
fa,10000,152,,11,221.418,8,8,64,29,8,false
fa,10000,153,,12,167.1,8,8,64,25,8,true
fa,10000,154,,12,175.573,8,8,64,30,8,true
fa,10000,155,,9,195.014,7,8,56,23,7,true
fa,10000,156,,12,162.25,8,7,56,27,8,true
fa,10000,157,,7,191.382,8,6,48,21,8,true
fa,10000,158,,7,173.803,6,8,48,16,8,false
fa,10000,159,,10,199.013,8,8,64,26,8,true
fa,10000,160,,10,176.618,8,7,56,26,8,false
fa,10000,161,,12,203.866,8,8,64,31,8,false
fa,10000,162,,12,176.169,7,8,56,28,8,false
fa,10000,163,,11,199.713,8,8,64,28,8,false
fa,10000,164,,5,184.358,4,6,24,12,8,true
fa,10000,165,,11,174.958,8,6,48,23,8,false
fa,10000,166,,6,192.756,6,6,36,16,5,false
fa,10000,167,,9,186.493,5,8,40,18,8,false
fa,10000,168,,10,183.289,7,7,49,24,8,false
fa,10000,169,,11,173.181,7,7,49,25,8,true
fa,10000,170,,6,202.258,5,7,35,21,7,false
fa,10000,171,,6,187.469,6,7,42,17,8,true
fa,10000,172,,12,176.841,8,8,64,28,8,true
fa,10000,173,,10,199.208,7,7,49,23,7,false
fa,10000,174,,11,204.702,6,8,48,31,8,false
fa,10000,175,,11,176.934,7,7,49,25,8,true
fa,10000,176,,11,197.328,8,8,64,26,7,true
fa,10000,177,,9,200.712,8,8,64,25,8,true
fa,10000,178,,4,203.488,4,6,24,13,6,true
fa,10000,179,,7,249.085,5,8,40,22,7,false
fa,10000,180,,10,235.387,8,8,64,31,8,true
fa,10000,181,,10,221.568,8,8,64,31,8,false
fa,10000,182,,8,237.369,6,7,42,19,8,false
fa,10000,183,,12,187.555,8,8,64,32,8,false
fa,10000,184,,12,200.271,8,8,64,33,6,true
fa,10000,185,,9,241.842,8,7,56,25,8,true
fa,10000,186,,10,239.682,8,7,56,26,6,true
fa,10000,187,,5,237.9,5,6,30,15,8,true
fa,10000,188,,6,216.878,6,6,36,16,5,true
fa,10000,189,,11,194.525,8,8,64,34,8,true
fa,10000,190,,12,184.276,8,8,64,30,8,true
fa,10000,191,,11,197.861,8,8,64,34,7,true
fa,10000,192,,5,169.335,3,6,18,12,8,true
fa,10000,193,,12,176.416,7,8,56,27,8,true
fa,10000,194,,11,186.848,7,7,49,25,8,false
fa,10000,195,,9,176.546,7,8,56,25,8,true
fa,10000,196,,5,211.785,5,6,30,16,6,false
fa,10000,197,,10,216.14,8,8,64,27,8,false
fa,10000,198,,10,235.196,7,7,49,25,8,false
fa,10000,199,,12,186.787,8,8,64,29,8,false
